65,15
65,18
65,21
65,15
65,12
65,11
65,15
65,07
65,05
65,08
65,09
65,13
65,23
65,26
65,23
65,2
65,2
65,22
65,24
65,2
65,15
65,13
65,13
65,12
65,25
65,28
65,27
65,24
65,27
65,27
65,23
65,2
65,16
65,17
65,15
65,08
65,27
65,27
65,26
65,24
65,24
65,26
65,27
65,2
65,19
65,18
65,16
65,16
65,3
65,29
65,3
65,26
65,25
65,28
65,25
65,27
65,2
65,33
65,2
65,21
65,31
65,36
65,33
65,31
65,3
65,34
65,31
65,28
65,24
65,3
65,27
65,24
65,33
65,39
65,34
65,32
65,27
65,34
65,36
65,31
65,22
65,32
65,31
65,27
65,36
65,34
65,32
65,28
65,3
65,33
65,33
65,32
65,32
65,31
65,27
65,28
